Month,Metric,Score
1,test_accuracy,0.712707182320442
1,test_accuracy,0.7343816404589886
1,test_accuracy,0.7152571185720357
1,test_accuracy,0.7292817679558011
1,test_accuracy,0.7224819379515512
1,test_precision,0.758130081300813
1,test_precision,0.8045851528384279
1,test_precision,0.7785016286644951
1,test_precision,0.7820247933884298
1,test_precision,0.7665995975855131
1,test_f1,0.6881918819188191
1,test_f1,0.7022391615054788
1,test_f1,0.6815589353612167
1,test_f1,0.7038586703858671
1,test_f1,0.7000459347726228
2,test_accuracy,0.7005267118133935
2,test_accuracy,0.7135867519759127
2,test_accuracy,0.7038012796386902
2,test_accuracy,0.698908543470079
2,test_accuracy,0.6879939781708694
2,test_precision,0.7572254335260116
2,test_precision,0.7727708533077661
2,test_precision,0.7479452054794521
2,test_precision,0.7349290780141844
2,test_precision,0.7214854111405835
2,test_f1,0.6638513513513514
2,test_f1,0.6793088916982722
2,test_f1,0.6754639175257733
2,test_f1,0.6745321399511798
2,test_f1,0.6631450629825273
3,test_accuracy,0.6877269426289034
3,test_accuracy,0.6775599128540305
3,test_accuracy,0.6930621140573919
3,test_accuracy,0.6985107155830004
3,test_accuracy,0.704322557210316
3,test_precision,0.7693920335429769
3,test_precision,0.7439759036144579
3,test_precision,0.7693877551020408
3,test_precision,0.7813471502590673
3,test_precision,0.8008611410118407
3,test_f1,0.6305841924398625
3,test_f1,0.6253164556962025
3,test_f1,0.6408839779005525
3,test_f1,0.6449957228400343
3,test_f1,0.6463944396177237
4,test_accuracy,0.6888714733542319
4,test_accuracy,0.6755485893416928
4,test_accuracy,0.7225705329153606
4,test_accuracy,0.7001176009408075
4,test_accuracy,0.7122696981575852
4,test_precision,0.7049455155071249
4,test_precision,0.7014134275618374
4,test_precision,0.7436548223350253
4,test_precision,0.7198641765704584
4,test_precision,0.7293233082706767
4,test_f1,0.6793214862681745
4,test_f1,0.6572847682119206
4,test_f1,0.7128953771289537
4,test_f1,0.6891507517269402
4,test_f1,0.7040322580645161
5,test_accuracy,0.6855524079320113
5,test_accuracy,0.6742209631728046
5,test_accuracy,0.683669854764435
5,test_accuracy,0.6737513283740701
5,test_accuracy,0.6921714488133192
5,test_precision,0.7616161616161616
5,test_precision,0.7596153846153846
5,test_precision,0.7758620689655172
5,test_precision,0.7577045696068013
5,test_precision,0.7811518324607329
5,test_f1,0.6293823038397329
5,test_f1,0.6071733561058924
5,test_f1,0.6172310330047149
5,test_f1,0.6075841499786963
5,test_f1,0.6319356204997881
6,test_accuracy,0.7062350119904077
6,test_accuracy,0.706634692246203
6,test_accuracy,0.7030375699440448
6,test_accuracy,0.7294164668265388
6,test_accuracy,0.6929228308676529
6,test_precision,0.7202680067001676
6,test_precision,0.7165160230073953
6,test_precision,0.6944444444444444
6,test_precision,0.7248270561106841
6,test_precision,0.6505803298717165
6,test_f1,0.7006109979633401
6,test_f1,0.7037933817594835
6,test_f1,0.7134593135364443
6,test_f1,0.7358564182598517
6,test_f1,0.7349896480331263
7,test_accuracy,0.7186327636515215
7,test_accuracy,0.7119633180491871
7,test_accuracy,0.6861192163401417
7,test_accuracy,0.713511259382819
7,test_accuracy,0.6968306922435363
7,test_precision,0.7236514522821577
7,test_precision,0.7152263374485597
7,test_precision,0.6452425960932577
7,test_precision,0.7323321554770318
7,test_precision,0.7135325131810193
7,test_f1,0.7209590739975197
7,test_f1,0.7155207904487442
7,test_f1,0.7311674401999286
7,test_f1,0.7070362473347548
7,test_f1,0.6907698851552532
8,test_accuracy,0.6606382978723404
8,test_accuracy,0.6813829787234043
8,test_accuracy,0.675
8,test_accuracy,0.697711548696115
8,test_accuracy,0.6870675891431612
8,test_precision,0.7322239031770046
8,test_precision,0.7621212121212121
8,test_precision,0.7413294797687862
8,test_precision,0.7701149425287356
8,test_precision,0.7633136094674556
8,test_f1,0.6027397260273972
8,test_f1,0.626791277258567
8,test_f1,0.626756261453879
8,test_f1,0.6536585365853659
8,test_f1,0.6370370370370371
9,test_accuracy,0.6843813387423935
9,test_accuracy,0.7091277890466532
9,test_accuracy,0.706288032454361
9,test_accuracy,0.7294117647058823
9,test_accuracy,0.7054766734279919
9,test_precision,0.6394799054373522
9,test_precision,0.7198347107438017
9,test_precision,0.7167630057803468
9,test_precision,0.7313195548489666
9,test_precision,0.7124289195775793
9,test_f1,0.7355540448674371
9,test_f1,0.7084180561203742
9,test_f1,0.7056910569105691
9,test_f1,0.7339449541284403
9,test_f1,0.707258064516129
10,test_accuracy,0.7159295217547644
10,test_accuracy,0.6839266450916937
10,test_accuracy,0.6780575539568345
10,test_accuracy,0.6820143884892086
10,test_accuracy,0.693884892086331
10,test_precision,0.7060041407867494
10,test_precision,0.6418994413407821
10,test_precision,0.6267423851316469
10,test_precision,0.6300518134715026
10,test_precision,0.6439312567132116
10,test_f1,0.7214386459802539
10,test_f1,0.7233238904627007
10,test_f1,0.7306650616912428
10,test_f1,0.7334137515078408
10,test_f1,0.7380732533087104
11,test_accuracy,0.6779728651237031
11,test_accuracy,0.689146049481245
11,test_accuracy,0.6983240223463687
11,test_accuracy,0.6810379241516966
11,test_accuracy,0.7001996007984032
11,test_precision,0.6313657407407407
11,test_precision,0.6460606060606061
11,test_precision,0.6465467208357516
11,test_precision,0.6384384384384384
11,test_precision,0.6872700515084621
11,test_f1,0.7300100368016058
11,test_f1,0.7323943661971832
11,test_f1,0.7466487935656837
11,test_f1,0.7268376068376068
11,test_f1,0.7132493318060328
12,test_accuracy,0.7444872243612181
12,test_accuracy,0.7489495798319328
12,test_accuracy,0.7524509803921569
