Month,Metric,Score
1,test_accuracy,0.7089236887894605
1,test_accuracy,0.7086751180710912
1,test_accuracy,0.7081779766343524
1,test_accuracy,0.7086026852312283
1,test_accuracy,0.707856787667827
1,test_precision,0.7084889220811551
1,test_precision,0.708312593330015
1,test_precision,0.7079601990049751
1,test_precision,0.708312593330015
1,test_precision,0.7077841333001741
1,test_f1,0.829374908931954
1,test_f1,0.8292540792540792
1,test_f1,0.8290125254879114
1,test_f1,0.8292540792540792
1,test_f1,0.8288918013688655
2,test_accuracy,0.6752031519330214
2,test_accuracy,0.6754493967003201
2,test_accuracy,0.674710662398424
2,test_accuracy,0.6752031519330214
2,test_accuracy,0.6758620689655173
2,test_precision,0.6744013823747222
2,test_precision,0.6745679012345679
2,test_precision,0.6740685911670368
2,test_precision,0.6744817374136229
2,test_precision,0.674901185770751
2,test_f1,0.8055432699395548
2,test_f1,0.805662046593925
2,test_f1,0.8053058216654385
2,test_f1,0.8056005895357407
2,test_f1,0.8058997050147493
3,test_accuracy,0.6761430940535418
3,test_accuracy,0.6744847192608386
3,test_accuracy,0.6744847192608386
3,test_accuracy,0.6754323619995262
3,test_accuracy,0.6749585406301825
3,test_precision,0.6753740204227024
3,test_precision,0.6742532005689901
3,test_precision,0.6742532005689901
3,test_precision,0.6748932130991931
3,test_precision,0.674650225278634
3,test_f1,0.8062367115520908
3,test_f1,0.8054375531011045
3,test_f1,0.8054375531011045
3,test_f1,0.805894020969113
3,test_f1,0.805720758991787
4,test_accuracy,0.6856070087609512
4,test_accuracy,0.6878598247809762
4,test_accuracy,0.6881101376720901
4,test_accuracy,0.6872809213820731
4,test_accuracy,0.6875312969454181
4,test_precision,0.6840251572327044
4,test_precision,0.6855774079677257
4,test_precision,0.6857503152585119
4,test_precision,0.6852318548387096
4,test_precision,0.6853252647503782
4,test_f1,0.8123692859276965
4,test_f1,0.8134629768137622
4,test_f1,0.8135846798324357
4,test_f1,0.813219679976073
4,test_f1,0.8132854578096949
5,test_accuracy,0.6853506029477445
5,test_accuracy,0.6853506029477445
5,test_accuracy,0.6866904868244752
5,test_accuracy,0.6855739169271996
5,test_accuracy,0.6853506029477445
5,test_precision,0.6851396648044693
5,test_precision,0.6851396648044693
5,test_precision,0.6860595211456701
5,test_precision,0.6852928028609745
5,test_precision,0.6852100089365505
5,test_f1,0.8131547540114044
5,test_f1,0.8131547540114044
5,test_f1,0.8138022561380226
5,test_f1,0.813262599469496
5,test_f1,0.8132042953731937
6,test_accuracy,0.7030578117534639
6,test_accuracy,0.7021022455805065
6,test_accuracy,0.7020310633213859
6,test_accuracy,0.7020310633213859
6,test_accuracy,0.7020310633213859
6,test_precision,0.7024892292963141
6,test_precision,0.7018173122907699
6,test_precision,0.7018173122907699
6,test_precision,0.701745993781392
6,test_precision,0.701745993781392
6,test_f1,0.8252495430901168
6,test_f1,0.8247857243220459
6,test_f1,0.8247857243220459
6,test_f1,0.8247364722417427
6,test_f1,0.8247364722417427
7,test_accuracy,0.7040236978523822
7,test_accuracy,0.7037768452234017
7,test_accuracy,0.7045174031103432
7,test_accuracy,0.7046913580246914
7,test_accuracy,0.7039506172839506
7,test_precision,0.7040236978523822
7,test_precision,0.7037768452234017
7,test_precision,0.704298418972332
7,test_precision,0.7044724487274524
7,test_precision,0.7039506172839506
7,test_f1,0.826307402578589
7,test_f1,0.8261373514923211
7,test_f1,0.8264965937092332
7,test_f1,0.8266164105537837
7,test_f1,0.8262570641935951
8,test_accuracy,0.7124502906087489
8,test_accuracy,0.7124502906087489
8,test_accuracy,0.7124502906087489
8,test_accuracy,0.7124502906087489
8,test_accuracy,0.7130620985010707
8,test_precision,0.7124502906087489
8,test_precision,0.7124502906087489
8,test_precision,0.7124502906087489
8,test_precision,0.7124502906087489
8,test_precision,0.7129742962056304
8,test_f1,0.8320828867452662
8,test_f1,0.8320828867452662
8,test_f1,0.8320828867452662
8,test_f1,0.8320828867452662
8,test_f1,0.8324401571989997
9,test_accuracy,0.689620253164557
9,test_accuracy,0.6918987341772151
9,test_accuracy,0.6911392405063291
9,test_accuracy,0.690126582278481
9,test_accuracy,0.690632911392405
9,test_precision,0.6891480730223124
9,test_precision,0.6907242693773825
9,test_precision,0.6901193802387605
9,test_precision,0.6894189292057853
9,test_precision,0.6897689768976898
9,test_f1,0.8159711798258781
9,test_f1,0.8170750037577034
9,test_f1,0.8166516381124136
9,test_f1,0.8161610093121057
9,test_f1,0.81640625
10,test_accuracy,0.6934391781461592
10,test_accuracy,0.6960074713985525
10,test_accuracy,0.6955405089890264
10,test_accuracy,0.6954694068192433
10,test_accuracy,0.6975712283979448
10,test_precision,0.6878269139324774
10,test_precision,0.6896305125148987
10,test_precision,0.6892278360343184
10,test_precision,0.6892278360343184
10,test_precision,0.690709338428469
10,test_f1,0.8150443724468235
10,test_f1,0.8163092550790068
10,test_f1,0.8160270880361173
10,test_f1,0.8160270880361173
10,test_f1,0.817064557140839
11,test_accuracy,0.6765799256505576
11,test_accuracy,0.676048858204992
11,test_accuracy,0.6775564409030544
11,test_accuracy,0.6764940239043825
11,test_accuracy,0.6796812749003984
11,test_precision,0.6735459662288931
11,test_precision,0.673185105813019
11,test_precision,0.6741814278046162
11,test_precision,0.6734584450402145
11,test_precision,0.6757192793761764
11,test_f1,0.804932735426009
11,test_f1,0.8046749919948768
11,test_f1,0.8053863417762104
11,test_f1,0.8048702338993912
11,test_f1,0.8064826700898587
12,test_accuracy,0.6543946072076744
12,test_accuracy,0.6663209748509205
12,test_accuracy,0.6676173191599689
